"name","geo_place_name","geo_type_name","start_date","data_value"
"Fine particles (PM 2.5)","Bensonhurst - Bay Ridge","UHF34","2014-12-01","8.5"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF34","2014-12-01","10"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF34","2017-01-01","8.2"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF34","2012-12-01","9.4"
"Fine particles (PM 2.5)","Throgs Neck and Co-op City (CD10)","CD","2017-01-01","7.5"
"Fine particles (PM 2.5)","Throgs Neck and Co-op City (CD10)","CD","2021-01-01","6.5"
"Fine particles (PM 2.5)","Throgs Neck and Co-op City (CD10)","CD","2010-12-01","13.1"
"Fine particles (PM 2.5)","Williamsbridge and Baychester (CD12)","CD","2009-06-01","10.2"
"Fine particles (PM 2.5)","Throgs Neck and Co-op City (CD10)","CD","2021-06-01","8.4"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2021-12-01","6.6"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2015-12-31","6.9"
"Fine particles (PM 2.5)","Throgs Neck and Co-op City (CD10)","CD","2018-01-01","6.9"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2021-06-01","7.8"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2012-06-01","10"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2013-06-01","10.1"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF42","2008-12-01","11.4"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF42","2014-06-01","10.9"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF42","2015-01-01","9.6"
"Fine particles (PM 2.5)","Pelham - Throgs Neck","UHF42","2008-12-01","10.6"
"Fine particles (PM 2.5)","Pelham - Throgs Neck","UHF42","2010-12-01","10.5"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2012-12-01","9.4"
"Fine particles (PM 2.5)","Sunset Park (CD7)","CD","2012-12-01","9.2"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2012-06-01","10.6"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2013-06-01","10.6"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2018-01-01","7.4"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2021-06-01","8.7"
"Fine particles (PM 2.5)","Kingsbridge Heights and Bedford (CD7)","CD","2021-12-01","7.4"
"Fine particles (PM 2.5)","Rockaway and Broad Channel (CD14)","CD","2012-06-01","9.4"
"Fine particles (PM 2.5)","Rockaway and Broad Channel (CD14)","CD","2013-06-01","9.4"
"Fine particles (PM 2.5)","Sunset Park (CD7)","CD","2021-12-01","7.3"
"Fine particles (PM 2.5)","Upper West Side (CD7)","CD","2013-06-01","11.4"
"Fine particles (PM 2.5)","Upper West Side (CD7)","CD","2012-06-01","11.4"
"Fine particles (PM 2.5)","Flushing and Whitestone (CD7)","CD","2021-06-01","8.3"
"Fine particles (PM 2.5)","Flushing and Whitestone (CD7)","CD","2021-12-01","7"
"Fine particles (PM 2.5)","Rockaway and Broad Channel (CD14)","CD","2009-06-01","9.6"
"Fine particles (PM 2.5)","Rockaway and Broad Channel (CD14)","CD","2012-12-01","7.6"
"Fine particles (PM 2.5)","Rockaway and Broad Channel (CD14)","CD","2010-12-01","10.3"
"Fine particles (PM 2.5)","Upper West Side (CD7)","CD","2009-06-01","12.1"
"Fine particles (PM 2.5)","Bushwick (CD4)","CD","2014-12-01","9.4"
"Fine particles (PM 2.5)","Bushwick (CD4)","CD","2018-01-01","7.5"
"Fine particles (PM 2.5)","Bushwick (CD4)","CD","2021-12-01","7.3"
"Fine particles (PM 2.5)","Bedford Stuyvesant (CD3)","CD","2021-06-01","8.8"
"Fine particles (PM 2.5)","Bedford Stuyvesant (CD3)","CD","2015-12-31","8.1"
"Fine particles (PM 2.5)","Jackson Heights (CD3)","CD","2017-01-01","7.2"
"Fine particles (PM 2.5)","Bedford Stuyvesant (CD3)","CD","2021-01-01","6.8"
"Fine particles (PM 2.5)","Highbridge and Concourse (CD4)","CD","2010-12-01","14.9"
"Fine particles (PM 2.5)","Highbridge and Concourse (CD4)","CD","2012-12-01","10"
"Fine particles (PM 2.5)","Lower East Side and Chinatown (CD3)","CD","2017-01-01","8.4"
"Fine particles (PM 2.5)","Lower East Side and Chinatown (CD3)","CD","2021-01-01","7.6"
"Fine particles (PM 2.5)","Morrisania and Crotona (CD3)","CD","2017-01-01","7.9"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2018-01-01","6.7"
"Fine particles (PM 2.5)","Williamsbridge and Baychester (CD12)","CD","2018-01-01","7"
"Fine particles (PM 2.5)","Upper East Side (CD8)","CD","2018-01-01","8.7"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2013-06-01","9.7"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2017-01-01","7.1"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2009-06-01","10.1"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2010-12-01","11.8"
"Fine particles (PM 2.5)","Jamaica and Hollis (CD12)","CD","2012-12-01","8.3"
"Fine particles (PM 2.5)","Williamsbridge and Baychester (CD12)","CD","2017-01-01","7.4"
"Fine particles (PM 2.5)","Upper East Side (CD8)","CD","2021-01-01","7"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2009-06-01","10"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2012-12-01","8"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2017-01-01","6.8"
"Fine particles (PM 2.5)","South Ozone Park and Howard Beach (CD10)","CD","2021-01-01","6.2"
"Fine particles (PM 2.5)","Central Harlem (CD10)","CD","2017-01-01","7.9"
"Fine particles (PM 2.5)","Washington Heights and Inwood (CD12)","CD","2021-01-01","6.9"
"Fine particles (PM 2.5)","Williamsbridge and Baychester (CD12)","CD","2010-12-01","13.4"
"Fine particles (PM 2.5)","Williamsbridge and Baychester (CD12)","CD","2012-12-01","8.7"
"Fine particles (PM 2.5)","Union Square - Lower East Side","UHF42","2013-06-01","11.5"
"Fine particles (PM 2.5)","Union Square - Lower East Side","UHF42","2021-12-01","8.4"
"Fine particles (PM 2.5)","Manhattan","Borough","2013-06-01","11.8"
"Fine particles (PM 2.5)","Pelham - Throgs Neck","UHF34","2009-06-01","10.4"
"Fine particles (PM 2.5)","Bedford Stuyvesant - Crown Heights","UHF34","2017-01-01","7.5"
"Fine particles (PM 2.5)","Bensonhurst - Bay Ridge","UHF42","2010-12-01","9.8"
"Fine particles (PM 2.5)","Bensonhurst - Bay Ridge","UHF42","2015-01-01","8.1"
"Fine particles (PM 2.5)","Bensonhurst - Bay Ridge","UHF42","2020-01-01","5.9"
"Fine particles (PM 2.5)","Southeast Queens","UHF42","2008-12-01","9.4"
"Fine particles (PM 2.5)","Coney Island - Sheepshead Bay","UHF42","2020-01-01","5.7"
"Fine particles (PM 2.5)","Woodside and Sunnyside (CD2)","CD","2014-12-01","10.9"
"Fine particles (PM 2.5)","Hunts Point and Longwood (CD2)","CD","2012-12-01","9.8"
"Fine particles (PM 2.5)","Hunts Point and Longwood (CD2)","CD","2009-06-01","11.5"
"Fine particles (PM 2.5)","Woodside and Sunnyside (CD2)","CD","2015-12-31","9.3"
"Fine particles (PM 2.5)","Hunts Point and Longwood (CD2)","CD","2012-06-01","11.2"
"Fine particles (PM 2.5)","Greenwich Village and Soho (CD2)","CD","2021-12-01","9.4"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2011-12-01","11.2"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2022-06-01","7.1"
"Fine particles (PM 2.5)","Crotona -Tremont","UHF42","2011-12-01","10.2"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2012-06-01","12.1"
"Fine particles (PM 2.5)","Flushing - Clearview","UHF42","2012-06-01","10.1"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2021-06-01","8.9"
"Fine particles (PM 2.5)","Bedford Stuyvesant - Crown Heights","UHF42","2021-06-01","8.5"
"Fine particles (PM 2.5)","Crotona -Tremont","UHF42","2021-12-01","7.3"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2014-12-01","11.1"
"Fine particles (PM 2.5)","Flushing - Clearview","UHF42","2009-06-01","10.2"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2021-01-01","7"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2009-06-01","12.9"
"Fine particles (PM 2.5)","Flushing - Clearview","UHF42","2021-01-01","6.5"
"Fine particles (PM 2.5)","East Harlem","UHF42","2021-01-01","6.8"
"Fine particles (PM 2.5)","Flushing - Clearview","UHF42","2010-06-01","11.6"
"Fine particles (PM 2.5)","Upper East Side","UHF42","2020-12-01","7.1"
"Fine particles (PM 2.5)","East Harlem","UHF42","2021-06-01","8.7"
"Fine particles (PM 2.5)","Bedford Stuyvesant - Crown Heights","UHF42","2021-12-01","6.9"
"Fine particles (PM 2.5)","Upper West Side (CD7)","CD","2010-12-01","14.3"
"Fine particles (PM 2.5)","Upper West Side (CD7)","CD","2012-12-01","10.4"
"Fine particles (PM 2.5)","Sunset Park (CD7)","CD","2009-06-01","11.5"
"Fine particles (PM 2.5)","Sunset Park (CD7)","CD","2010-12-01","13.6"
"Fine particles (PM 2.5)","Sunset Park (CD7)","CD","2017-01-01","8.2"
