GeoID,Year,PM2.5,AsthmaRate,RespiratoryRate
408.0,2015,7.0,69.6,10.5
408.0,2015,7.0,29.7,10.5
106.0,2012,12.3,117.4,23.5
106.0,2012,12.3,232.5,23.5
106.0,2017,9.8,78.0,15.0
106.0,2017,9.8,138.0,15.0
408.0,2015,7.4,69.6,10.5
408.0,2015,7.4,29.7,10.5
308.0,2017,9.0,14.0,3.0
308.0,2017,9.0,6.0,3.0
2.0,2009,10.9,93.1,13.3
2.0,2009,10.9,48.5,13.3
2.0,2012,8.7,44.2,11.5
2.0,2012,8.7,81.8,11.5
2.0,2017,7.5,54.0,7.0
2.0,2017,7.5,30.0,7.0
304.0,2015,9.0,23.2,8.5
304.0,2015,9.0,51.9,8.5
302.0,2009,11.7,291.1,18.8
302.0,2009,11.7,137.0,18.8
302.0,2012,9.5,253.1,16.5
302.0,2012,9.5,116.4,16.5
302.0,2017,8.3,138.0,8.0
302.0,2017,8.3,75.0,8.0
401.0,2017,7.7,42.0,5.0
401.0,2017,7.7,16.0,5.0
209.0,2017,8.1,14.0,6.0
209.0,2017,8.1,8.0,6.0
410.0,2017,7.0,33.0,10.0
410.0,2017,7.0,46.0,10.0
106.0,2017,8.6,78.0,15.0
106.0,2017,8.6,138.0,15.0
306.0,2017,11.2,50.0,4.0
306.0,2017,11.2,18.0,4.0
211.0,2015,7.4,107.9,11.0
211.0,2015,7.4,67.3,11.0
406.0,2017,7.6,34.0,5.0
406.0,2017,7.6,10.0,5.0
202.0,2015,9.8,24.1,7.8
202.0,2015,9.8,46.4,7.8
306.0,2017,9.9,50.0,4.0
306.0,2017,9.9,18.0,4.0
209.0,2017,8.1,14.0,6.0
209.0,2017,8.1,8.0,6.0
409.0,2017,7.9,11.0,3.0
409.0,2017,7.9,35.0,3.0
211.0,2015,8.1,107.9,11.0
211.0,2015,8.1,67.3,11.0
409.0,2015,7.8,39.5,8.2
409.0,2015,7.8,17.9,8.2
209.0,2012,10.9,18.1,8.9
209.0,2012,10.9,10.4,8.9
211.0,2015,9.6,107.9,11.0
211.0,2015,9.6,67.3,11.0
409.0,2012,10.0,53.8,6.9
409.0,2012,10.0,21.9,6.9
409.0,2009,9.5,27.4,10.0
409.0,2009,9.5,70.5,10.0
409.0,2015,9.2,39.5,8.2
409.0,2015,9.2,17.9,8.2
409.0,2015,8.3,39.5,8.2
409.0,2015,8.3,17.9,8.2
209.0,2015,9.0,16.8,8.9
209.0,2015,9.0,8.5,8.9
308.0,2009,11.0,24.5,5.4
308.0,2009,11.0,9.2,5.4
305.0,2017,9.8,6.0,5.0
305.0,2017,9.8,16.0,5.0
203.0,2017,8.6,107.0,8.0
203.0,2017,8.6,55.0,8.0
202.0,2017,8.4,43.0,6.0
202.0,2017,8.4,23.0,6.0
305.0,2015,8.7,18.6,6.7
305.0,2015,8.7,6.6,6.7
4.0,2012,10.1,53.2,8.7
4.0,2012,10.1,20.6,8.7
402.0,2015,9.8,60.2,8.6
402.0,2015,9.8,14.7,8.6
209.0,2015,7.7,16.8,8.9
209.0,2015,7.7,8.5,8.9
409.0,2012,7.9,53.8,6.9
409.0,2012,7.9,21.9,6.9
101.0,2015,9.6,25.8,14.8
101.0,2015,9.6,65.8,14.8
209.0,2012,9.9,18.1,8.9
209.0,2012,9.9,10.4,8.9
409.0,2009,8.7,27.4,10.0
409.0,2009,8.7,70.5,10.0
3.0,2015,9.5,34.8,9.6
3.0,2015,9.5,93.5,9.6
206.0,2015,8.2,9.3,8.8
206.0,2015,8.2,15.8,8.8
102.0,2015,10.6,108.6,15.4
102.0,2015,10.6,48.4,15.4
201.0,2015,9.9,27.4,6.6
201.0,2015,9.9,19.9,6.6
3.0,2012,10.7,116.7,10.9
3.0,2012,10.7,40.8,10.9
206.0,2012,8.5,18.7,9.1
206.0,2012,8.5,11.2,9.1
310.0,2017,9.0,18.0,4.0
310.0,2017,9.0,33.0,4.0
3.0,2009,12.6,144.3,12.6
3.0,2009,12.6,45.7,12.6
3.0,2017,8.7,71.0,6.0
3.0,2017,8.7,28.0,6.0
304.0,2015,8.9,23.2,8.5
304.0,2015,8.9,51.9,8.5
204.0,2015,8.4,71.4,13.2
204.0,2015,8.4,118.4,13.2
104.0,2015,8.1,105.2,15.9
104.0,2015,8.1,44.6,15.9
204.0,2012,8.7,141.6,14.0
204.0,2012,8.7,84.9,14.0
307.0,2012,10.9,57.6,8.9
307.0,2012,10.9,24.0,8.9
202.0,2009,11.7,89.1,13.1
202.0,2009,11.7,40.7,13.1
202.0,2012,9.5,35.8,10.2
202.0,2012,9.5,76.9,10.2
302.0,2012,9.7,253.1,16.5
302.0,2012,9.7,116.4,16.5
102.0,2009,10.3,73.4,18.6
102.0,2009,10.3,37.6,18.6
202.0,2015,9.9,24.1,7.8
202.0,2015,9.9,46.4,7.8
302.0,2012,12.2,253.1,16.5
302.0,2012,12.2,116.4,16.5
202.0,2012,11.1,35.8,10.2
202.0,2012,11.1,76.9,10.2
4.0,2015,9.2,47.3,9.6
4.0,2015,9.2,17.9,9.6
206.0,2015,8.2,9.3,8.8
206.0,2015,8.2,15.8,8.8
408.0,2009,10.1,115.8,12.7
408.0,2009,10.1,41.6,12.7
408.0,2012,8.3,91.4,9.8
408.0,2012,8.3,39.6,9.8
401.0,2017,8.4,42.0,5.0
401.0,2017,8.4,16.0,5.0
206.0,2009,10.8,19.5,11.8
206.0,2009,10.8,13.2,11.8
208.0,2009,10.4,81.7,12.5
208.0,2009,10.4,40.9,12.5
206.0,2017,7.3,10.0,6.0
206.0,2017,7.3,14.0,6.0
208.0,2017,7.0,55.0,8.0
208.0,2017,7.0,27.0,8.0
305.0,2017,8.2,6.0,5.0
305.0,2017,8.2,16.0,5.0
105.0,2015,11.5,87.1,21.4
105.0,2015,11.5,167.2,21.4
205.0,2017,8.3,33.0,6.0
205.0,2017,8.3,18.0,6.0
202.0,2009,10.5,89.1,13.1
202.0,2009,10.5,40.7,13.1
102.0,2009,9.7,73.4,18.6
102.0,2009,9.7,37.6,18.6
305.0,2009,9.7,35.5,9.2
305.0,2009,9.7,9.4,9.2
305.0,2012,10.3,24.4,8.4
305.0,2012,10.3,8.0,8.4
105.0,2015,13.1,87.1,21.4
105.0,2015,13.1,167.2,21.4
103.0,2017,8.2,112.0,11.0
103.0,2017,8.2,49.0,11.0
308.0,2012,10.4,7.2,5.3
308.0,2012,10.4,18.1,5.3
206.0,2015,8.0,9.3,8.8
206.0,2015,8.0,15.8,8.8
105.0,2015,12.3,87.1,21.4
105.0,2015,12.3,167.2,21.4
205.0,2009,11.6,51.3,12.5
205.0,2009,11.6,35.0,12.5
205.0,2012,10.1,28.0,9.4
205.0,2012,10.1,45.5,9.4
309.0,2012,10.2,36.2,12.0
309.0,2012,10.2,114.8,12.0
409.0,2015,7.9,39.5,8.2
409.0,2015,7.9,17.9,8.2
310.0,2012,11.1,52.3,6.1
310.0,2012,11.1,24.1,6.1
206.0,2015,8.4,9.3,8.8
206.0,2015,8.4,15.8,8.8
211.0,2015,10.2,107.9,11.0
211.0,2015,10.2,67.3,11.0
5.0,2015,7.5,33.1,15.0
5.0,2015,7.5,20.8,15.0
201.0,2009,12.2,59.6,10.0
201.0,2009,12.2,28.2,10.0
401.0,2017,8.4,42.0,5.0
401.0,2017,8.4,16.0,5.0
305.0,2009,11.8,35.5,9.2
305.0,2009,11.8,9.4,9.2
403.0,2012,9.9,29.3,8.9
403.0,2012,9.9,9.6,8.9
302.0,2017,9.3,138.0,8.0
302.0,2017,9.3,75.0,8.0
301.0,2015,10.3,81.6,10.3
301.0,2015,10.3,32.9,10.3
201.0,2015,9.0,27.4,6.6
201.0,2015,9.0,19.9,6.6
202.0,2017,8.5,43.0,6.0
202.0,2017,8.5,23.0,6.0
209.0,2015,9.0,16.8,8.9
209.0,2015,9.0,8.5,8.9
409.0,2012,9.3,53.8,6.9
409.0,2012,9.3,21.9,6.9
409.0,2015,8.8,39.5,8.2
409.0,2015,8.8,17.9,8.2
203.0,2017,7.5,107.0,8.0
203.0,2017,7.5,55.0,8.0
103.0,2009,10.6,122.8,20.5
103.0,2009,10.6,68.7,20.5
103.0,2017,7.5,112.0,11.0
103.0,2017,7.5,49.0,11.0
105.0,2015,9.7,87.1,21.4
105.0,2015,9.7,167.2,21.4
309.0,2012,11.9,36.2,12.0
309.0,2012,11.9,114.8,12.0
106.0,2012,11.0,117.4,23.5
106.0,2012,11.0,232.5,23.5
3.0,2012,11.9,116.7,10.9
3.0,2012,11.9,40.8,10.9
3.0,2015,9.0,34.8,9.6
3.0,2015,9.0,93.5,9.6
206.0,2012,10.1,18.7,9.1
206.0,2012,10.1,11.2,9.1
206.0,2009,9.6,19.5,11.8
206.0,2009,9.6,13.2,11.8
