"name","geo_place_name","geo_type_name","start_date","data_value"
"Boiler Emissions- Total SO2 Emissions","Ridgewood - Forest Hills","UHF42","2015-01-01","1.3"
"Boiler Emissions- Total SO2 Emissions","Staten Island","Borough","2015-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Upper West Side","UHF42","2015-01-01","50.9"
"Boiler Emissions- Total SO2 Emissions","East New York","UHF42","2015-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Coney Island - Sheepshead Bay","UHF42","2015-01-01","0.7"
"Boiler Emissions- Total SO2 Emissions","Queens","Borough","2013-01-01","2.2"
"Boiler Emissions- Total SO2 Emissions","Queens","Borough","2015-01-01","1.4"
"Boiler Emissions- Total SO2 Emissions","West Queens","UHF42","2013-01-01","2.3"
"Boiler Emissions- Total SO2 Emissions","Lower Manhattan","UHF42","2013-01-01","13.7"
"Boiler Emissions- Total SO2 Emissions","South Beach - Tottenville","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Bayside - Little Neck","UHF42","2013-01-01","1.6"
"Boiler Emissions- Total SO2 Emissions","Borough Park","UHF42","2013-01-01","1.5"
"Boiler Emissions- Total SO2 Emissions","Willowbrook","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Port Richmond","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Greenpoint","UHF42","2013-01-01","0.4"
"Boiler Emissions- Total SO2 Emissions","Williamsburg - Bushwick","UHF42","2013-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Hunts Point - Mott Haven","UHF42","2013-01-01","3.3"
"Boiler Emissions- Total SO2 Emissions","Jamaica","UHF42","2013-01-01","0.5"
"Boiler Emissions- Total SO2 Emissions","Gramercy Park - Murray Hill","UHF42","2015-01-01","41.5"
"Boiler Emissions- Total SO2 Emissions","Staten Island","Borough","2013-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Downtown - Heights - Slope","UHF42","2013-01-01","0.8"
"Boiler Emissions- Total SO2 Emissions","Pelham - Throgs Neck","UHF42","2013-01-01","4.4"
"Boiler Emissions- Total SO2 Emissions","Long Island City - Astoria","UHF42","2013-01-01","6.7"
"Boiler Emissions- Total SO2 Emissions","New York City","Citywide","2013-01-01","6.1"
"Boiler Emissions- Total SO2 Emissions","Southeast Queens","UHF42","2013-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Canarsie - Flatlands","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Fresh Meadows","UHF42","2013-01-01","4.3"
"Boiler Emissions- Total SO2 Emissions","Stapleton - St. George","UHF42","2013-01-01","0.4"
"Boiler Emissions- Total SO2 Emissions","Flushing - Clearview","UHF42","2013-01-01","5.1"
"Boiler Emissions- Total SO2 Emissions","Ridgewood - Forest Hills","UHF42","2013-01-01","2.7"
"Boiler Emissions- Total SO2 Emissions","New York City","Citywide","2015-01-01","3.5"
"Boiler Emissions- Total SO2 Emissions","Long Island City - Astoria","UHF42","2015-01-01","5"
"Boiler Emissions- Total SO2 Emissions","Rockaways","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","West Queens","UHF42","2015-01-01","1.1"
"Boiler Emissions- Total SO2 Emissions","East Harlem","UHF42","2015-01-01","4.8"
"Boiler Emissions- Total SO2 Emissions","Willowbrook","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","South Beach - Tottenville","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Southwest Queens","UHF42","2013-01-01","0.8"
"Boiler Emissions- Total SO2 Emissions","Jamaica","UHF42","2015-01-01","0.4"
